epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,266.734,1.60449,1.03913,1.46183,0.50018,0.43333,0.49864,0.15958,2.27182,1.70093,2.14552,0.0004952,0.0004952,0.0004952
78,270.114,1.49546,0.99801,1.4447,0.5413,0.4,0.49862,0.15916,2.30526,1.76957,2.16171,0.0004754,0.0004754,0.0004754
79,273.416,1.53149,1.08727,1.45275,0.40172,0.5,0.47814,0.15279,2.29078,1.79523,2.15142,0.0004556,0.0004556,0.0004556
80,276.813,1.40129,1.0305,1.34541,0.40655,0.63333,0.47705,0.17736,2.25101,1.75794,2.15747,0.0004358,0.0004358,0.0004358
81,279.997,1.50536,1.04941,1.38341,0.4119,0.65385,0.51819,0.1928,2.22526,1.71416,2.15624,0.000416,0.000416,0.000416
82,283.005,1.44919,1.06447,1.39727,0.57782,0.50191,0.52972,0.19085,2.23352,1.6375,2.19399,0.0003962,0.0003962,0.0003962
83,286.106,1.56541,1.00818,1.43534,0.63828,0.53333,0.53769,0.19252,2.22169,1.59874,2.13968,0.0003764,0.0003764,0.0003764
84,289.157,1.39467,0.92935,1.32949,0.63203,0.5,0.50169,0.18828,2.21005,1.61343,2.10155,0.0003566,0.0003566,0.0003566
85,292.387,1.4467,1.02325,1.39926,0.63273,0.5,0.50949,0.19074,2.23008,1.61024,2.12755,0.0003368,0.0003368,0.0003368
86,295.637,1.40588,0.90433,1.3544,0.64482,0.5,0.50806,0.17531,2.29034,1.58912,2.20757,0.000317,0.000317,0.000317
87,299.042,1.45897,0.9311,1.31056,0.56532,0.5,0.49702,0.18302,2.31735,1.60677,2.25674,0.0002972,0.0002972,0.0002972
88,302.06,1.39297,0.91973,1.36937,0.59498,0.43333,0.54484,0.18089,2.29895,1.62445,2.22875,0.0002774,0.0002774,0.0002774
89,305.11,1.46001,0.96107,1.42778,0.52788,0.56667,0.57641,0.18589,2.31932,1.60837,2.25608,0.0002576,0.0002576,0.0002576
90,308.1,1.45672,0.97342,1.31721,0.40352,0.56667,0.47927,0.17579,2.39461,1.58663,2.35595,0.0002378,0.0002378,0.0002378
91,311.142,1.35535,0.95046,1.36661,0.41932,0.46667,0.47736,0.17656,2.45332,1.5902,2.4279,0.000218,0.000218,0.000218
92,314.096,1.32207,0.91135,1.37264,0.44829,0.53333,0.51489,0.17003,2.47647,1.5972,2.45301,0.0001982,0.0001982,0.0001982
93,316.997,1.44327,0.92617,1.4029,0.61843,0.43226,0.48715,0.15972,2.49644,1.60097,2.47468,0.0001784,0.0001784,0.0001784
94,319.957,1.30959,0.85894,1.40851,0.59828,0.5,0.54949,0.17315,2.42683,1.67014,2.38114,0.0001586,0.0001586,0.0001586
95,322.962,1.30836,0.92394,1.37302,0.56319,0.56667,0.55814,0.17798,2.37701,1.69417,2.32101,0.0001388,0.0001388,0.0001388
96,326.014,1.45382,0.96551,1.4357,0.72078,0.43333,0.58394,0.1779,2.34735,1.68496,2.27859,0.000119,0.000119,0.000119
97,329.008,1.30255,0.92268,1.34657,0.75594,0.43333,0.59568,0.18026,2.33487,1.65934,2.26462,9.92e-05,9.92e-05,9.92e-05
98,332.279,1.41857,1.02174,1.4354,0.60357,0.5,0.5177,0.17644,2.33124,1.65576,2.25739,7.94e-05,7.94e-05,7.94e-05
99,335.66,1.36223,0.84673,1.37898,0.71317,0.4,0.50517,0.17235,2.33557,1.63395,2.26977,5.96e-05,5.96e-05,5.96e-05
100,339.069,1.26774,0.81146,1.31092,0.59023,0.46667,0.51225,0.17888,2.33594,1.63321,2.27663,3.98e-05,3.98e-05,3.98e-05
